Cxt gtf location,contig,interval ,Gene symbol
gene1718,tig00000646_CDS_93284_94391,,spd-2
gene1720,tig00000647_CDS_16106_16217,,Obp19a-1
gene1721,tig00000647_CDS_16801_16998,,Obp19a-2
gene1724,tig00000648_CDS_4750_5670,,ECD
gene1737,tig00000652_CDS_102857_103148,,CCBL2
gene1738,tig00000652_CDS_117220_117408,,STX18
gene1739,tig00000652_CDS_134460_134686,,TKT
gene1734,tig00000652_CDS_66033_67658,,IPO9
gene1736,tig00000652_CDS_93101_93559,,COX5A
gene1742,tig00000654_CDS_50557_50919,,CTSB
gene1743,tig00000654_CDS_70021_70416,,CTSB
gene1745,tig00000654_CDS_88349_89113,,LET-767
gene1752,tig00000657_CDS_134350_135579,,IDH1
gene1753,tig00000657_CDS_145409_145666,,CHCHD7
gene1762,tig00000659_CDS_116022_120815,,TENM2
gene1760,tig00000659_CDS_95068_95817,,SF3A2
gene1766,tig00000660_CDS_161951_162362,,NDUFS7
gene1763,tig00000660_CDS_23766_25215,,LATS1
gene1772,tig00000661_CDS_170957_171523,,CSGALNACT1
gene1775,tig00000664_CDS_120183_120551,,PPP2R5B
gene1776,tig00000664_CDS_133855_133992,,SLC25A48
gene1779,tig00000664_CDS_184906_185664,,KIF16B
gene1774,tig00000664_CDS_46597_47178,,MRPL43
gene1784,tig00000666_CDS_129354_131191,,FOXK2
gene1785,tig00000666_CDS_160429_160880,,SLC36A4
gene1786,tig00000666_CDS_176995_177580,,SLC36A4
gene1782,tig00000666_CDS_89975_91667,,NUP153
gene1788,tig00000669_CDS_121032_121211,,OTP
gene1792,tig00000676_CDS_135625_136672,,Sce
gene1795,tig00000676_CDS_214502_214796,,UNC-80
gene1791,tig00000676_CDS_74556_75437,,ZNF598
gene1796,tig00000679_CDS_29488_29740,,PDE7B
gene1805,tig00000702_CDS_105705_106413,,RBM25
gene1806,tig00000702_CDS_125959_127754,,WDR6
gene1808,tig00000702_CDS_134596_134802,,LYRM5
gene1809,tig00000702_CDS_135615_135974,,NANP
gene1810,tig00000702_CDS_147397_149583,,NCDN
gene1801,tig00000702_CDS_15243_15656,,C02D5.2
gene1811,tig00000702_CDS_163493_164019,,MRPL37
gene1802,tig00000702_CDS_39195_39329,,DPM3
gene1803,tig00000702_CDS_45874_46815,,Y-e3
gene1804,tig00000702_CDS_80312_81309,,WTIP
gene1818,tig00000703_CDS_185173_185835,,MRPL24
gene1819,tig00000704_CDS_104061_104572,,ABCG5
gene1820,tig00000704_CDS_126899_127812,,ABCG5
gene1821,tig00000706_CDS_38970_39512,,FIBCD1
gene1830,tig00000707_CDS_114345_114656,,USP14
gene1831,tig00000707_CDS_117167_118111,,FKBP5
gene1832,tig00000707_CDS_147086_150339,,ATRX
gene1827,tig00000707_CDS_75201_75314,,USP14-1
gene1828,tig00000707_CDS_75589_76107,,USP14-2
gene1829,tig00000707_CDS_99534_100820,,YY1
gene1837,tig00000709_CDS_65869_68682,,MAP3K15
gene1843,tig00000716_CDS_15845_16045,,HHEX
gene1845,tig00000716_CDS_62822_63413,,MFSD10
gene1848,tig00000716_CDS_99098_99458,,ATXN7L3
gene1853,tig00000717_CDS_57028_58005,,gei-8
gene1856,tig00000719_CDS_34001_35434,,PPOX
gene1862,tig00000721_CDS_107492_107709,,PPP1CC
gene1858,tig00000721_CDS_30504_30815,,SNAP29
gene1864,tig00000730_CDS_109294_110523,,AFF4
gene1868,tig00000733_CDS_120089_120449,,TMEM234
gene1871,tig00000738_CDS_126304_126664,,GYG1
gene1869,tig00000738_CDS_15150_15458,,ENOSF1
gene1880,tig00000745_CDS_120292_121125,,ZC3H12C
gene1881,tig00000745_CDS_124504_124993,,ZC3H12C
gene1884,tig00000745_CDS_147881_149176,,POGZ
gene1873,tig00000745_CDS_15150_15326,,KPNA4
gene1886,tig00000745_CDS_161133_161420,,LSM3
gene1887,tig00000745_CDS_161500_161943,,GRHPR
gene1889,tig00000745_CDS_168368_168572,,C15orf40
gene1874,tig00000745_CDS_28045_28494,,RPS15
gene1877,tig00000745_CDS_44155_44634,,MRPL41
gene1891,tig00000747_CDS_165755_165892,,PSME3
gene1892,tig00000748_CDS_13674_13814,,MIB1
gene1899,tig00000748_CDS_139036_139917,,T
gene1900,tig00000748_CDS_181864_182091,,PNPLA2
gene1901,tig00000748_CDS_187767_187940,,KCNK9
gene1894,tig00000748_CDS_69377_70567,,LRRC29-1
gene1895,tig00000748_CDS_79748_81250,,LRRC29-2
gene1896,tig00000748_CDS_85991_87085,,LRRC29-3
gene1897,tig00000748_CDS_89098_90954,,LRRC29-4
gene1898,tig00000748_CDS_91419_92621,,LRRC29-5
gene1904,tig00000749_CDS_33064_33221,,NVL
gene1919,tig00000750_CDS_173984_174888,,KLHDC3
gene1907,tig00000750_CDS_22005_22404,,RALGAPB
gene1908,tig00000750_CDS_40097_40942,,MRPL4
gene1909,tig00000750_CDS_57746_58312,,ATP6V1H
gene1913,tig00000750_CDS_94073_95113,,TBCC
gene1927,tig00000751_CDS_146700_147218,,LTN1
gene1929,tig00000751_CDS_168290_168922,,VPS28
gene1930,tig00000751_CDS_171963_172533,,NOL11
gene1922,tig00000751_CDS_87796_88842,,Gr59f
gene1949,tig00000757_CDS_152517_153802,,INSM2
gene1953,tig00000761_CDS_160734_161173,,Htr4
gene1959,tig00000771_CDS_107310_107467,,TPX4
gene1960,tig00000771_CDS_114079_114178,,ARL6
gene1956,tig00000771_CDS_23910_25118,,TUBGCP6
gene1957,tig00000771_CDS_52722_56562,,HERC2
gene1955,tig00000771_CDS_8508_9875,,TUBGCP6
gene1966,tig00000776_CDS_13399_13785,,RPL12
gene1969,tig00000776_CDS_173792_175168,,FBXL14
gene1965,tig00000776_CDS_7661_7806,,POLR2E
gene1968,tig00000776_CDS_97213_99081,,WNT5B
gene1974,tig00000777_CDS_121272_121520,,PSMD10
gene1973,tig00000777_CDS_84899_85189,,DRAM2
gene1980,tig00000780_CDS_147043_147187,,PRKD1
gene1982,tig00000780_CDS_172731_173282,,PSMD1
gene1984,tig00000782_CDS_14329_14628,,GALK1
gene1988,tig00000783_CDS_121504_121698,,csn-2
gene1990,tig00000783_CDS_145759_146409,,DDX18
gene1995,tig00000785_CDS_150319_150567,,CHRNA7
gene1996,tig00000785_CDS_194472_196192,,clec-78
gene1993,tig00000785_CDS_41168_41424,,HCN3
gene2002,tig00000796_CDS_120457_120766,,CYP306A1
gene1997,tig00000796_CDS_1208_1751,,gar-1
gene2010,tig00000797_CDS_45694_45831,,RPL36A
gene2015,tig00000798_CDS_100725_100895,,CEP135
gene2021,tig00000798_CDS_128670_130163,,CEP135
gene2013,tig00000798_CDS_71527_72222,,WRNIP1
gene2014,tig00000798_CDS_95191_96153,,WRNIP1
gene2027,tig00000799_CDS_138753_140375,,SLC38A10
gene2028,tig00000799_CDS_169274_169585,,RPS2
gene2031,tig00000800_CDS_138814_139158,,LCT
gene2029,tig00000800_CDS_68180_68850,,ADAM22
gene2033,tig00000801_CDS_3500_4405,,TBC1D5
gene2037,tig00000801_CDS_58108_58200,,ARFRP1
gene2038,tig00000801_CDS_63511_64329,,TSNAX
gene2039,tig00000801_CDS_83214_84104,,TMEM63C
gene2040,tig00000801_CDS_98719_98991,,TSNAX
gene2047,tig00000804_CDS_113105_113329,,RHOA
gene2045,tig00000804_CDS_30069_31076,,DAG1
gene2051,tig00000814_CDS_33311_33685,,CAPN7
gene2054,tig00000814_CDS_87176_87382,,SEC61G
gene2059,tig00000816_CDS_111200_111435,,USP32
gene2060,tig00000816_CDS_148644_149774,,RSRC2
gene2056,tig00000816_CDS_34640_35854,,TCHP
gene2064,tig00000820_CDS_141070_141282,,YOD1
gene2066,tig00000820_CDS_179991_180842,,GTF2F2
gene2067,tig00000820_CDS_186526_186646,,WDR83OS
gene2077,tig00000827_CDS_11593_12605,,FUZ
gene2086,tig00000827_CDS_133910_135187,,DHX16
gene2079,tig00000827_CDS_42412_42619,,DAD1
gene2080,tig00000827_CDS_53535_54158,,PGPEP1
gene2105,tig00000834_CDS_102245_103008,,TMEM57
gene2103,tig00000834_CDS_40680_42060,,pst
gene2104,tig00000834_CDS_75093_75578,,pst
gene2110,tig00000835_CDS_193081_193442,,FHOD1
gene2126,tig00000860_CDS_141399_141501,,CFAP36
gene2134,tig00000862_CDS_144098_144251,,FRA10AC1
gene2136,tig00000862_CDS_166109_166271,,ZC4H2
gene2138,tig00000862_CDS_181858_182283,,CD164
gene2143,tig00000864_CDS_43837_44307,,SPO11
gene2164,tig00000868_CDS_161605_162058,,Osi18
gene2166,tig00000870_CDS_83249_84526,,MCM6
gene2172,tig00000873_CDS_60444_60662,,NKX1-1
gene2176,tig00000875_CDS_105409_106485,,LRRC17
gene2179,tig00000876_CDS_141820_142449,,SDHB
gene2180,tig00000876_CDS_148119_148748,,SDHB
gene2181,tig00000877_CDS_18077_18472,,Ppib
gene2182,tig00000877_CDS_18665_19021,,Ppib
gene2186,tig00000881_CDS_88015_88482,,SLC35C2
gene2191,tig00000882_CDS_54683_55066,,rps9
gene2192,tig00000882_CDS_58327_58695,,TTYH2
gene2193,tig00000882_CDS_80527_80664,,Ptth
gene2198,tig00000883_CDS_49113_50978,,Hsp68
gene2210,tig00000887_CDS_100219_100455,,CCDC47
gene2212,tig00000887_CDS_150685_151203,,CASP7
gene2206,tig00000887_CDS_2_271,,sNPF
gene2209,tig00000887_CDS_88218_88471,,PLCXD2
gene2217,tig00000889_CDS_163382_164617,,KLC4
gene2218,tig00000889_CDS_177054_177452,,SLC7A6
gene2215,tig00000889_CDS_63269_64027,,CDC40
gene2223,tig00000892_CDS_154432_155173,,SVIL
gene2224,tig00000893_CDS_109867_110991,,POLR1E
gene2225,tig00000893_CDS_160615_161592,,SLC35A2
gene2226,tig00000894_CDS_56511_57154,,TEKT2
gene2229,tig00000900_CDS_77231_78351,,pgant3
gene2231,tig00000901_CDS_34593_35642,,CCDC63
gene2242,tig00000903_CDS_111034_111612,,STK38
gene2243,tig00000903_CDS_162723_163030,,TAF11
gene2233,tig00000903_CDS_344_2146,,INTS9
gene2246,tig00000908_CDS_104461_104641,,YAP1
gene2245,tig00000908_CDS_30134_30841,,YAP1
gene2250,tig00000909_CDS_121083_121496,,CCDC130
gene2262,tig00000913_CDS_90717_91518,,CGGBP1
gene2264,tig00000921_CDS_145950_146783,,UGT2A1
gene2266,tig00000924_CDS_22666_23132,,GPC5
gene2267,tig00000924_CDS_59832_60050,,GPC5
gene2275,tig00000934_CDS_105327_105674,,CA14
gene2274,tig00000934_CDS_91734_91892,,CA14
gene2289,tig00000985_CDS_104729_106651,,LIN9
gene2293,tig00000985_CDS_123333_124550,,NOB1
gene2285,tig00000985_CDS_13552_14121,,USH1C
gene2287,tig00000985_CDS_80459_82366,,EIF2B5
gene2288,tig00000985_CDS_85344_85570,,EXT2
gene2297,tig00000987_CDS_41995_43068,,PDP1
gene2303,tig00000989_CDS_80422_81900,,RAB3GAP1
gene2305,tig00000990_CDS_55295_55543,,EN2
gene2309,tig00000994_CDS_53009_53110,,CPEB2
gene2311,tig00000994_CDS_82718_84742,,ASUN
gene2320,tig00000996_CDS_39440_39667,,PDSS1
gene2325,tig00001002_CDS_105040_105840,,Mad
gene2323,tig00001002_CDS_8584_9570,,DNAJC28
gene2331,tig00001004_CDS_119234_119449,,LSAMP
gene2328,tig00001004_CDS_38336_38689,,MAN2B1
gene2334,tig00001009_CDS_10993_11607,,DENND1A
gene2336,tig00001009_CDS_133472_136370,,NPC1
gene2340,tig00001013_CDS_79294_79428,,TBX20
gene2360,tig00001024_CDS_140147_140356,,RPL6
gene2361,tig00001024_CDS_147207_147388,,RPS3
gene2365,tig00001026_CDS_55208_55360,,oard1
gene2370,tig00001027_CDS_115537_116841,,SVP
gene2379,tig00001034_CDS_118040_118564,,FNDC3A
gene2375,tig00001034_CDS_77812_79118,,KIAA1279
gene2382,tig00001040_CDS_31789_33228,,ttk
gene2383,tig00001040_CDS_45740_45877,,ttk
gene2389,tig00001043_CDS_105005_105445,,HINT2
gene2390,tig00001043_CDS_140106_140331,,SF3B3
gene2401,tig00001048_CDS_21110_24421,,SIRT7
gene2403,tig00001048_CDS_33676_33954,,SLIRP
gene2404,tig00001048_CDS_45005_46732,,DDX55
gene2409,tig00001049_CDS_140224_141549,,ME1
gene2410,tig00001049_CDS_150347_152197,,ME1
gene2412,tig00001053_CDS_43712_43946,,HLF
gene2413,tig00001056_CDS_141419_141805,,SPNS3
gene2427,tig00001076_CDS_105226_105786,,let-413
gene2423,tig00001076_CDS_25279_26103,,TTBK2
gene2425,tig00001076_CDS_75582_76695,,NPAS3
gene2426,tig00001076_CDS_84811_85889,,NPAS3
gene2432,tig00001079_CDS_114770_114934,,Nep5
gene2443,tig00001118_CDS_115452_116069,,EOGT
gene2452,tig00001120_CDS_156264_157100,,NCOA5
gene2450,tig00001120_CDS_49258_49573,,LYSC4
gene2465,tig00001125_CDS_109136_109572,,TAOK1
gene2467,tig00001125_CDS_151738_152053,,VPS33A
gene2464,tig00001125_CDS_79074_79238,,NIPSNAP1
gene2469,tig00001126_CDS_108019_108942,,MDH1
gene2475,tig00001126_CDS_139042_139977,,SNRNP40
gene2477,tig00001126_CDS_148871_149422,,FCF1
gene2478,tig00001126_CDS_154366_156046,,LPP
gene2468,tig00001126_CDS_72775_72914,,HECTD1
gene2487,tig00001129_CDS_119440_121203,,BRPF1
gene2511,tig00001132_CDS_89075_90823,,WDR75
gene2524,tig00001138_CDS_39702_40457,,CMTR2
gene2534,tig00001139_CDS_114443_115120,,PEX16
gene2536,tig00001140_CDS_59334_60322,,SLC39A11
gene2547,tig00001143_CDS_159436_159678,,SNRNP200
gene2543,tig00001143_CDS_44638_45228,,SLC26A11
gene2544,tig00001143_CDS_57061_57438,,SLC25A3
gene2545,tig00001143_CDS_72180_72557,,SLC25A3
gene2551,tig00001144_CDS_73723_75294,,SMC3
gene2552,tig00001144_CDS_90804_91661,,SMC3
gene2555,tig00001145_CDS_59239_60457,,MAOB
gene2559,tig00001147_CDS_101873_103453,,CNNM2
gene2560,tig00001147_CDS_119754_120308,,CUTC
gene2558,tig00001147_CDS_86229_87602,,CNNM2
gene2563,tig00001149_CDS_99453_102743,,BMP1
gene2566,tig00001150_CDS_1663_2013,,IFT46
gene2570,tig00001150_CDS_72237_72704,,VHL
gene2571,tig00001150_CDS_88224_89780,,blow
gene2580,tig00001151_CDS_146901_147054,,PGRMC2
gene2583,tig00001156_CDS_46036_46611,,DHRS11
gene2584,tig00001156_CDS_59687_60706,,ATR
gene2590,tig00001161_CDS_105332_105554,,DNAJB5
gene2593,tig00001176_CDS_165319_167298,,THAP9
gene2599,tig00001182_CDS_141027_141578,,KCNB1
gene2610,tig00001185_CDS_138752_140578,,CAPN15
gene2608,tig00001185_CDS_86124_86582,,COMMD4
gene2617,tig00001226_CDS_105831_106043,,COX4I1
gene2615,tig00001226_CDS_86955_88430,,EYA1
gene2619,tig00001227_CDS_12738_12980,,HOXC9
gene2623,tig00001228_CDS_104911_105105,,ATP6V1E1
gene2625,tig00001228_CDS_199701_201503,,CEP152
gene2627,tig00001230_CDS_1989_2334,,CYP303A1
gene2635,tig00001234_CDS_31064_31282,,KIFAP3
gene2657,tig00001242_CDS_106112_106689,,FUT7
gene2650,tig00001242_CDS_35152_36744,,C9orf117
gene2653,tig00001242_CDS_51329_52252,,GPN2
gene2654,tig00001242_CDS_52384_52650,,SRPN8
gene2655,tig00001242_CDS_59532_60677,,PEX3
gene2670,tig00001246_CDS_138581_139213,,ARL6IP4
gene2671,tig00001246_CDS_163302_164712,,TSC1
gene2664,tig00001246_CDS_47744_48072,,PEX13
gene2674,tig00001247_CDS_35636_37933,,PDCD11
gene2677,tig00001247_CDS_55980_58781,,RRP12
gene2686,tig00001249_CDS_101627_103240,,ttll-15
gene2680,tig00001249_CDS_10202_10338,,EGLN1
gene2687,tig00001249_CDS_110219_110353,,DPH5
gene2683,tig00001249_CDS_79278_80570,,ZPR1
gene2689,tig00001250_CDS_10205_13598,,FAM135B
gene2690,tig00001250_CDS_22444_22632,,FAM135B
gene2691,tig00001250_CDS_46893_47789,,RABGEF1
gene2696,tig00001252_CDS_19931_20272,,NDUFB3
gene2697,tig00001252_CDS_29120_30205,,RAE1
gene2701,tig00001255_CDS_125286_125394,,VSX2
gene2702,tig00001255_CDS_137734_137906,,CNPY3
gene2698,tig00001255_CDS_27371_27799,,Ppib
gene2699,tig00001255_CDS_28721_29149,,Ppib
gene2713,tig00001269_CDS_34818_35741,,PROP1
gene2712,tig00001269_CDS_5975_6136,,PROP1
gene2731,tig00001285_CDS_106440_106841,,mtg
gene2733,tig00001287_CDS_30230_32007,,UPF2
gene2734,tig00001287_CDS_73869_74720,,TEKT3
gene2745,tig00001302_CDS_102860_104385,,EXOC5
gene2747,tig00001302_CDS_124678_124917,,COQ2
gene2738,tig00001302_CDS_6445_6544,,SPTSSB
gene2751,tig00001332_CDS_114325_115654,,MYO5A
gene2750,tig00001332_CDS_75536_75722,,FHL2
gene2766,tig00001353_CDS_146213_146833,,GABPB1
gene2772,tig00001354_CDS_108941_110305,,UTP3
gene2778,tig00001355_CDS_138224_138420,,MRPS11
gene2782,tig00001356_CDS_122770_124017,,USP22
gene2781,tig00001356_CDS_91925_92239,,ATMIN
gene2784,tig00001357_CDS_33587_33954,,CES5A
gene2793,tig00001358_CDS_139764_140084,,NHP2L1
gene2823,tig00001370_CDS_81989_82183,,MOK
gene2827,tig00001371_CDS_125618_126019,,PAX3
gene2831,tig00001373_CDS_145873_146058,,LBX1
gene2830,tig00001373_CDS_97590_98486,,LBX1
gene2840,tig00001384_CDS_72548_72944,,NFAT5
gene2845,tig00001392_CDS_26331_26429,,NOX5
gene2849,tig00001405_CDS_1148_1273,,RGS20
gene2852,tig00001407_CDS_104101_104251,,RBM48
gene2854,tig00001410_CDS_103306_105708,,REV3L
gene2853,tig00001410_CDS_44484_45167,,AGL
gene2866,tig00001414_CDS_25528_25719,,SYT2
gene2863,tig00001414_CDS_430_1125,,GNB2L1
gene2868,tig00001414_CDS_97905_98768,,RTN1
gene2870,tig00001417_CDS_19411_19747,,ATG2B
gene2882,tig00001434_CDS_85186_85359,,SPTBN5
gene2884,tig00001437_CDS_17629_17841,,MYH9
gene2888,tig00001461_CDS_143968_144084,,TPD52L2
gene2899,tig00001485_CDS_123954_124130,,mge
gene2907,tig00001491_CDS_65867_67897,,PRR36
gene2911,tig00001496_CDS_106083_106537,,2-Sep
gene2913,tig00001498_CDS_67413_67580,,TSPAN13
gene2916,tig00001499_CDS_54146_54403,,otx1
gene2917,tig00001499_CDS_69416_70528,,otx1
gene2925,tig00001505_CDS_117712_118100,,AAR2
gene2927,tig00001507_CDS_84345_84647,,GPRGRP1
gene2931,tig00001512_CDS_133956_134600,,DDX11
gene2934,tig00001513_CDS_51211_51492,,PAFAH1B2
gene2938,tig00001514_CDS_123315_124385,,FOXB1
gene2953,tig00001522_CDS_155374_156537,,B3GALT6
gene2940,tig00001522_CDS_3729_3866,,TMEM33
gene2942,tig00001522_CDS_37516_37665,,N6AMT2
gene2943,tig00001522_CDS_38453_38815,,PFDN1
gene2955,tig00001523_CDS_68206_69003,,FOXRED1
gene2963,tig00001530_CDS_121986_122764,,SENP1
gene2960,tig00001530_CDS_71103_72957,,SVEP1
gene2966,tig00001531_CDS_35544_35882,,DNAJC17
gene2967,tig00001531_CDS_54461_55189,,PSMG2
gene2968,tig00001531_CDS_60362_60610,,TNRC18
gene2970,tig00001533_CDS_34259_35200,,DYNC1H1
gene2980,tig00001538_CDS_14878_15183,,SLMO2
gene2986,tig00001541_CDS_127781_128506,,Rx
gene3000,tig00001547_CDS_125393_125756,,ACSF3
gene2998,tig00001547_CDS_77244_77618,,gek
gene3005,tig00001555_CDS_17132_17590,,GTSF1
gene3015,tig00001567_CDS_106552_107505,,ZNF830
gene3017,tig00001567_CDS_137780_138301,,ABCC4
gene3023,tig00001571_CDS_7075_7578,,mth
gene3032,tig00001573_CDS_130868_131392,,TTC39C
gene3028,tig00001573_CDS_3819_4146,,PGRPLB
gene3030,tig00001573_CDS_98146_98991,,SLC35G1
gene3037,tig00001584_CDS_95666_95959,,Obp28a
gene3038,tig00001584_CDS_98437_98730,,Obp28a
gene3043,tig00001587_CDS_57137_57485,,FADD
gene3044,tig00001587_CDS_76999_77967,,AGO2-1
gene3050,tig00001588_CDS_49142_49567,,FAM193A
gene3058,tig00001589_CDS_84884_85090,,VTI1B
gene3067,tig00001607_CDS_68603_68802,,SHMT2
gene3064,tig00001607_CDS_7173_7367,,ATP5D
gene3072,tig00001637_CDS_33920_34220,,ATP5C1
gene3073,tig00001637_CDS_40237_40920,,SEPHS1
gene3074,tig00001637_CDS_53977_54100,,MNAT1
gene3075,tig00001637_CDS_63250_64704,,MAEL
gene3083,tig00001643_CDS_53793_56995,,RALGAPA2
gene3099,tig00001650_CDS_26860_27678,,DYNC1I2
gene3104,tig00001651_CDS_34408_34854,,lama
gene3110,tig00001655_CDS_107507_108568,,TBRG4
gene3111,tig00001655_CDS_116466_116562,,MOB1B
gene3108,tig00001655_CDS_71908_72193,,IQUB
gene3115,tig00001657_CDS_96727_98283,,NUP54
gene3126,tig00001664_CDS_109614_110039,,DST
gene3127,tig00001664_CDS_125589_125921,,DST
gene3129,tig00001667_CDS_10272_10482,,GNPNAT1
gene3130,tig00001667_CDS_27790_27910,,GID8
gene3128,tig00001667_CDS_4814_5033,,UBA5
gene3136,tig00001667_CDS_72060_73376,,AAAS
gene3139,tig00001667_CDS_84688_85135,,NOP14
gene3142,tig00001673_CDS_116424_117236,,ARHGAP17
gene3143,tig00001673_CDS_124038_125345,,ARHGAP17
gene3144,tig00001674_CDS_13450_13590,,Mkk4
gene3156,tig00001676_CDS_47351_48097,,DCAF10
gene3165,tig00001679_CDS_86821_88084,,Incenp
gene3169,tig00001684_CDS_29870_30436,,MYOD1
gene3179,tig00001691_CDS_11920_12950,,CCDC135
gene3184,tig00001692_CDS_59772_61289,,KATNB1
gene3187,tig00001694_CDS_106662_107067,,ETFA
gene3185,tig00001694_CDS_80825_81681,,AQR
gene3186,tig00001694_CDS_98401_99114,,DNALI1
gene3214,tig00001703_CDS_62397_62669,,YIPF1
gene3218,tig00001709_CDS_66156_67058,,UBIAD1
gene3219,tig00001709_CDS_89598_90395,,WDR12
gene3221,tig00001712_CDS_30752_31441,,ADCY5
gene3231,tig00001715_CDS_20112_20257,,MORN3
gene3237,tig00001724_CDS_46040_46291,,IFT122
gene3241,tig00001725_CDS_25960_26151,,ERI2
gene3253,tig00001734_CDS_103721_103918,,TSPO
gene3250,tig00001734_CDS_66409_66612,,TSPO
gene3251,tig00001734_CDS_77569_77760,,TSPO
gene3252,tig00001734_CDS_90392_90712,,TSPO
gene3255,tig00001735_CDS_11483_11661,,DENND4B
gene3257,tig00001737_CDS_42035_42712,,ERCC4
gene3258,tig00001739_CDS_21597_21884,,CDKL1
gene3259,tig00001739_CDS_33937_34374,,SYVN1
gene3260,tig00001739_CDS_63134_64363,,RUVBL1
gene3263,tig00001741_CDS_19568_19923,,IFT81
gene3268,tig00001742_CDS_21099_21482,,ADCY8
gene3269,tig00001743_CDS_17682_18053,,RNFT2
gene3285,tig00001751_CDS_117390_117632,,msn
gene3278,tig00001751_CDS_32785_33001,,FDXR
gene3291,tig00001754_CDS_150507_150803,,FIS1
gene3303,tig00001764_CDS_102221_102384,,KXD1
gene3305,tig00001764_CDS_123108_124535,,CPVL
gene3301,tig00001764_CDS_83614_84196,,REXO5
gene3323,tig00001799_CDS_130435_130836,,TMEM179
gene3324,tig00001799_CDS_146332_146499,,AKR1A1
gene3319,tig00001799_CDS_80459_81547,,POLR2M
gene3330,tig00001804_CDS_106952_107740,,LMF2
gene3331,tig00001815_CDS_10032_10178,,NR5A2
gene3332,tig00001815_CDS_34395_34982,,CYP15A1
gene3343,tig00001853_CDS_89712_90116,,TSSK4
gene3352,tig00001857_CDS_108031_108753,,GNB4
gene3346,tig00001857_CDS_11561_11974,,SMARCE1
gene3347,tig00001857_CDS_23946_25670,,SMARCE1
gene3345,tig00001857_CDS_2404_3156,,prss16
gene3357,tig00001858_CDS_100172_100864,,FAM76B
gene3358,tig00001858_CDS_111841_112437,,FAM76B
gene3359,tig00001859_CDS_13599_13806,,KHDRBS3
gene3362,tig00001859_CDS_72184_72312,,His4r
gene3368,tig00001861_CDS_82327_82988,,ARMC4
gene3376,tig00001867_CDS_38791_39336,,IMMP1L
gene3377,tig00001867_CDS_45314_46067,,UBE4A
gene3380,tig00001868_CDS_105063_106580,,PIK3R3
gene3378,tig00001868_CDS_57947_59350,,Aats-ile
gene3379,tig00001868_CDS_83288_83734,,DCTN6
gene3384,tig00001870_CDS_77592_83021,,JARID2
gene3389,tig00001873_CDS_158578_158861,,CHIP
gene3398,tig00001877_CDS_120325_120508,,AGO2-2
gene3401,tig00001880_CDS_134305_134514,,RPS13
gene3402,tig00001881_CDS_11856_12107,,CROT
gene3404,tig00001881_CDS_18705_19061,,SLC26A11
gene3411,tig00001883_CDS_47187_47681,,ZNF598
gene3416,tig00001884_CDS_112564_113178,,GRAMD1B
gene3414,tig00001884_CDS_84733_84943,,UBE2D3
gene3415,tig00001884_CDS_98554_98925,,GATAD1
gene3420,tig00001888_CDS_3535_3648,,bru-3
gene3426,tig00001898_CDS_13518_14006,,CRYAB-1
gene3428,tig00001898_CDS_30050_30322,,CRYAB-2
gene3429,tig00001898_CDS_31925_32221,,CRYAB-3
gene3430,tig00001898_CDS_33457_33741,,CRYAB-4
gene3431,tig00001898_CDS_35666_35947,,CRYAB-5
gene3432,tig00001898_CDS_42090_42374,,CRYAB-6
gene3433,tig00001898_CDS_44515_45021,,CRYAB-7
gene3434,tig00001898_CDS_46962_47246,,CRYAB-8
gene3435,tig00001898_CDS_53558_53987,,CRYAB-9
gene3443,tig00001900_CDS_132988_133521,,GstD1
gene3447,tig00001901_CDS_105184_107928,,UPF1
gene3448,tig00001901_CDS_121159_121386,,UPF1
gene3453,tig00001904_CDS_66714_66834,,SPEF1
gene3455,tig00001904_CDS_83730_84446,,UGT2A1
gene3457,tig00001905_CDS_71462_72100,,PAQR4
gene3459,tig00001909_CDS_61609_61818,,spz
gene3471,tig00001911_CDS_107397_108716,,EDC3
gene3468,tig00001911_CDS_73059_74060,,LRRC17
gene3470,tig00001911_CDS_89157_89474,,NEDD4L
gene3474,tig00001913_CDS_35660_36391,,STIM2
gene3480,tig00001917_CDS_133665_137255,,PMCA
gene3477,tig00001917_CDS_31450_31604,,dap
gene3481,tig00001930_CDS_20860_21054,,DHPS
gene3482,tig00001930_CDS_30105_30521,,TRAPPC2L
gene3489,tig00001932_CDS_102873_103191,,NKX2-3
gene3493,tig00001934_CDS_88348_88518,,AP1S2
gene3506,tig00001943_CDS_131584_133353,,NUP107
gene3510,tig00001950_CDS_45466_47529,,SKIV2L
gene3512,tig00001958_CDS_6163_6864,,FBXO9
gene3521,tig00001966_CDS_109074_109346,,GPROR44
gene3517,tig00001966_CDS_2451_2723,,FAAH2
gene3518,tig00001966_CDS_45706_47010,,ADSL
gene3524,tig00001967_CDS_107284_107722,,UBASH3B
gene3523,tig00001967_CDS_74683_75339,,OPN4
gene3525,tig00001970_CDS_24179_24420,,JADE2
gene3526,tig00001970_CDS_29019_31625,,JADE2
gene3527,tig00001970_CDS_60814_61893,,FCHSD2
gene3546,tig00001992_CDS_56696_57568,,PLEKHH2
gene3547,tig00001992_CDS_84540_85826,,NDUFAF7
gene3549,tig00002005_CDS_83617_83837,,CRHR2
gene3556,tig00002021_CDS_67958_68203,,SRRM2
gene3559,tig00002025_CDS_17985_18368,,USF2
gene3564,tig00002079_CDS_17201_18802,,vas
